#grid_code,cokey,mukey,musym,comppct_r,taxorder,tfact,albedodry_r,slope_r,layernum
3177,1151890:1396997,1151890,5001,50,,,,45,1
3166,1151905:1485324,1151905,1014,40,,,,2,1
1703,1385583:95040,1385583,6,100,,,0.159999996,82,1
1706,1385617:95127,1385617,90,100,,,0.159999996,3,1
1828,1385618:95128,1385618,91,60,,,,78,1
1691,1385619:95130,1385619,92,60,,,0.159999996,80,1
1765,1385620:95132,1385620,93,65,,,,70,1
1851,1385744:104910,1385744,237,60,,,,78,1
1319,1389452:909224,1389452,Rh,100,,,,2,1
2846,1397238:1275299,1397238,Co,100,,,,3,1
5335,1400217:1286868,1400217,GP,100,,,,7,1
3452,158154:233331,158154,188,100,,,0.230000004,45,1
3387,158155:233332,158155,189,50,,,0.230000004,48,1
3440,158157:233334,158157,190,50,,,0.230000004,48,1
3497,158158:233336,158158,191,55,,,,48,1
3472,158159:233339,158159,192,55,,,0.230000004,48,1
3518,158160:233341,158160,193,55,,,,48,1
3546,158161:233343,158161,194,55,,,,40,1
3574,158162:233345,158162,195,55,,,,48,1
3596,158163:233348,158163,196,55,,,0.230000004,48,1
3517,158164:233350,158164,197,55,,,,48,1
3412,158165:233352,158165,198,55,,,0.230000004,48,1
3254,158321:233595,158321,113,100,,,0.230000004,50,1
3348,158322:233596,158322,114,50,,,,48,1
3244,158323:233598,158323,115,55,,,,48,1
3380,158324:233600,158324,116,50,,,,48,1
3315,158325:233602,158325,117,55,,,,48,1
3305,158326:233604,158326,118,55,,,,48,1
3238,158327:233606,158327,119,55,,,,70,1
3377,158329:233608,158329,120,55,,,,48,1
3324,158330:233610,158330,121,55,,,,48,1
3223,158331:233612,158331,122,100,,,,57,1
4180,1899713:1481512,1899713,208,100,,,0.230000004,50,1
4196,1899876:1483673,1899876,475,100,,,,2,1
4173,1899877:1483674,1899877,476,100,,,,45,1
4377,1899939:105311,1899939,477,35,,,,25,1
4199,1900006:105470,1900006,479,50,,,,52,1
4227,1901506:1711393,1901506,478,45,,,,63,1
3104,2230264:1701174,2230264,1025,50,,,,2,1
345,2427640:1701174,2427640,1025,50,,,,2,1
4746,67364:94434,67364,122,90,,,,60,1
4805,67497:94522,67497,175,30,,,,68,1
#4734,67704:94612,67704,239,90,,,,50,1
5096,67711:94613,67711,240,50,,,,45,1
5084,67719:94615,67719,241,50,,,,68,1
4863,67720:94617,67720,242,40,,,,68,1
4748,67721:94620,67721,243,40,,,,68,1
4727,67722:94623,67722,244,60,,,,65,1
4961,67723:94626,67723,245,35,,,,68,1
4732,67724:94629,67724,246,65,,,,57,1
7305,68127:94820,68127,AMC,40,,,,8,1
7295,68135:94838,68135,BTD,55,,,,15,1
7323,68156:94865,68156,EMC,40,,,,8,1
7341,68213:94932,68213,RO,100,,,,30,1
7416,68219:94943,68219,Ra,100,,,,2,1
7438,68220:94944,68220,Rc,100,,,,8,1
7844,68581:95342,68581,81,100,,,0.159999996,4,1
7806,68582:95343,68582,82,100,,,0.159999996,45,1
7531,68661:95832,68661,62,100,,,,1,1
7497,68662:95834,68662,63,100,,,,30,1
#7897,68714:95604,68714,120,50,,,0.230000004,45,1
8055,68735:95422,68735,14,45,,,0.230000004,55,1
#5399,68898:96042,68898,115,50,,,0.230000004,57,1
7618,69230:96443,69230,BkD,50,,,0.230000004,43,1
7644,69301:96555,69301,HxC,50,,,0.230000004,15,1
7646,69348:96623,69348,Rh,100,,,0.230000004,2,1
7630,69349:96624,69349,Ro,100,,,0.230000004,30,1
7581,69373:96653,69373,SuE,65,,,0.230000004,45,1
7619,69387:96670,69387,VsD,30,,,0.230000004,38,1
8090,69514:96891,69514,BkF,50,,,,48,1
8178,69528:96906,69528,Du,100,,5,,33,1
8094,69575:96969,69575,Rh,90,,,,2,1
8164,69576:96971,69576,Ro,100,,,,50,1
8622,69701:97130,69701,Rn,100,,,,2,1
8619,69702:97131,69702,Ro,85,,,,75,1
6804,699269:1072857,699269,302,35,,,0.230000004,50,1
6824,699272:1072868,699272,306,55,,,,48,1
6829,699386:1073143,699386,307,45,,,0.230000004,48,1
6803,700290:1074843,700290,303,35,,,0.230000004,50,1
4645,70054:97523,70054,Cu,100,,,,40,1
4578,70171:97686,70171,Rw,100,,,,40,1
3721,70535:98293,70535,391,100,,,0.230000004,1,1
3639,70536:98294,70536,392,100,,,0.230000004,52,1
3654,70537:98295,70537,393,55,,,0.230000004,43,1
3847,70538:98297,70538,394,55,,,0.230000004,43,1
3683,70539:98299,70539,395,50,,,0.230000004,48,1
3708,70540:98301,70540,396,55,,,0.230000004,43,1
3858,70541:98303,70541,397,45,,,0.230000004,18,1
3640,70542:98305,70542,398,50,,,0.230000004,18,1
3738,70543:98307,70543,399,45,,,0.230000004,43,1
3755,70548:98315,70548,402,100,,,0.230000004,55,1
3664,70549:98316,70549,403,60,,,0.230000004,55,1
3913,70550:98318,70550,404,40,,,0.230000004,50,1
5268,70797:98708,70797,131,75,,,0.230000004,80,1
5196,70803:98714,70803,137,60,,,0.230000004,80,1
5271,70804:98716,70804,138,40,,,0.230000004,80,1
5165,71173:98597,71173,75,35,,,0.230000004,58,1
8404,71291:98860,71291,Ba,100,,,,25,1
8416,71292:98861,71292,BcD,60,,,,45,1
8408,71293:98864,71293,BcF,60,,,,45,1
8440,71294:98867,71294,BcG,60,,,,65,1
8434,71295:98869,71295,BdF,50,,,,45,1
8425,71296:98871,71296,Bk,100,,,,45,1
8591,71297:98873,71297,Bm,50,,,,2,1
8444,71416:99079,71416,Rw,100,,,,2,1
8319,71507:99355,71507,119,100,,,,2,1
8346,71708:99168,71708,3,45,,,0.230000004,60,1
8321,71865:99281,71865,76,100,,,,,1
1911,71984:99516,71984,Fn,100,,,,1,1
2015,72057:99617,72057,Ra,100,,,,1,1
1932,72058:99618,72058,Rc,100,,,,1,1
1927,72059:99619,72059,Rk,100,,,,78,1
2051,72232:100243,72232,172,85,,,0.230000004,1,1
2534,73170:100984,73170,125,100,Entisols,5,,3,1
2569,73264:100912,73264,95,100,,,,1,1
2616,73265:100913,73265,96,50,,,,65,1
5752,73388:101133,73388,Rh,100,,,0.230000004,2,1
5793,73389:101135,73389,Rk,60,,,,39,1
5785,73390:101137,73390,Ro,100,,,0.230000004,45,1
3028,73472:101180,73472,3,100,,,,3,1
3044,73505:101319,73505,57,100,,,,2,1
2347,73556:101592,73556,120,100,,,,,1
2330,73557:101593,73557,121,100,,,,,1
2321,73562:101604,73562,126,100,,,,,1
2383,73629:101428,73629,35,100,,5,,15,1
2362,73678:101378,73678,8,100,,,,3,1
2950,73741:101761,73741,CW,100,,,,3,1
2847,73742:101763,73742,Cu,100,Entisols,5,,3,1
2946,73806:1275304,73806,RW,100,,,,2,1
2924,73807:101863,73807,Rk,60,,,,70,1
116,74022:102508,74022,215,100,,,0.230000004,1,1
45,74025:102513,74025,218,100,,,0.230000004,85,1
271,74026:102515,74026,219,50,,,,78,1
252,74028:102517,74028,220,50,,,,60,1
3,74029:102519,74029,221,50,,,0.230000004,68,1
2,74030:102521,74030,222,35,,,0.230000004,68,1
62,74031:102524,74031,223,35,,,,68,1
#6,74032:102528,74032,224,100,,,0.230000004,65,1
2804,74211:102667,74211,4,85,,,,3,1
2814,74221:102772,74221,49,85,Histosols,3,0.300000012,1,1
1476,74333:103201,74333,180,100,,,,2,1
1550,74334:103202,74334,181,100,,,,50,1
1606,74335:103203,74335,182,60,,,,78,1
1659,74336:103206,74336,183,60,,,,78,1
1442,74337:103209,74337,184,65,,,,78,1
1450,74338:103211,74338,185,55,,,,78,1
#1578,74339:103213,74339,186,100,,,,57,1
2695,74588:103500,74588,Ma,100,,,,1,1
2683,74608:103531,74608,Ra,100,,,,1,1
2634,74611:103537,74611,Rd,50,,,,50,1
1381,74692:103720,74692,34A,100,,,,2,1
404,74736:103979,74736,108,100,,,0.300000012,2,1
387,74737:103981,74737,109,100,,,0.300000012,75,1
#441,74739:103982,74739,110,100,,,0.300000012,65,1
517,74785:104078,74785,152,40,,,0.300000012,2,1
398,74880:103780,74880,9,100,,,0.300000012,1,1
297,74946:104276,74946,59,100,,,0.230000004,2,1
1015,75010:104688,75010,130,100,,,,1,1
911,75011:104689,75011,131,100,,,,50,1
1038,75012:104690,75012,132,55,,,,75,1
#939,75013:104693,75013,133,100,,,,57,1
5727,75690:104954,75690,9,100,,,,,1
5601,75691:105083,75691,90,50,,,,55,1
5651,75693:105085,75693,91,55,,,,60,1
5655,75694:105088,75694,92,40,,,,43,1
5662,75695:105091,75695,93,45,,,,68,1
5605,75696:105093,75696,94,50,,,,60,1
733,75789:1564209,75789,316,35,,,,25,1
645,75875:1565180,75875,318,50,,,,52,1
621,75883:105484,75883,319,40,,,,80,1
653,75903:105517,75903,317,45,,,,63,1
708,75968:105651,75968,916,50,,,,75,1
714,75972:105664,75972,911,35,,,,75,1
753,75986:105723,75986,910,50,,,,63,1
726,75990:105738,75990,913,55,,,,75,1
729,75991:105742,75991,915,50,,,,63,1
562,75995:105756,75995,914,55,,,,57,1
751,76058:109151,76058,912,50,,,,50,1
703,76085:105170,76085,315,75,,,,1,1
6475,76119:105775,76119,10,100,,,0.159999996,1,1
6624,76159:106185,76159,120,50,,,0.230000004,15,1
6689,76160:106188,76160,121,65,,,0.230000004,40,1
6472,76167:105796,76167,12E,45,,,,53,1
6536,76193:105815,76193,16E,40,,,0.230000004,53,1
6393,76213:105840,76213,21,55,,,0.230000004,78,1
6458,76249:105877,76249,26E,55,,,0.230000004,70,1
6417,76314:106327,76314,379,40,,,0.230000004,68,1
6694,76451:106487,76451,721,45,,,0.230000004,60,1
6702,76454:106491,76454,724C,50,,,0.230000004,40,1
5918,76626:106732,76626,1006,45,,,,60,1
5937,76627:106735,76627,1007,60,,,,60,1
5924,76688:106776,76688,161,100,,,,50,1
5987,76748:106844,76748,230,50,,,,55,1
5938,76838:106681,76838,40,60,,,,50,1
5972,76846:106927,76846,408,55,,,,68,1
6158,77151:107228,77151,774,35,,,,53,1
6084,77272:107424,77272,893,45,,,,50,1
6154,77299:106726,77299,92,60,,,,75,1
6112,77326:107528,77326,944,40,,,,65,1
1239,78183:130425,78183,817H4,55,,,0.230000004,80,1
1127,78277:130895,78277,900AZ,60,,,0.230000004,3,1
1178,78279:108846,78279,801U1,45,,,0.230000004,25,1
1185,78280:108852,78280,801S1,45,,,0.230000004,80,1
1176,78281:108858,78281,801R3,50,,,0.230000004,80,1
1204,78282:108863,78282,811D8,45,,,0.230000004,80,1
1177,78286:108877,78286,820SZ,30,,,0.230000004,80,1
1177,78286:108878,78286,820SZ,30,,,0.230000004,80,1
1782,1385461:130072,1385461,175,90,Alfisols,5,0.230000004,12,2
1817,1385472:95148,1385472,107,100,Inceptisols,5,0.159999996,10,2
1820,1385473:95149,1385473,108,100,Inceptisols,5,0.159999996,23,2
1767,1385516:95194,1385516,147,100,Inceptisols,5,0.230000004,18,2
1762,1385517:95195,1385517,148,100,Inceptisols,5,0.230000004,48,2
1743,1385541:95035,1385541,2,100,Entisols,5,0.230000004,3,2
1780,1385543:95054,1385543,21,100,Andisols,5,0.230000004,5,2
1781,1385544:95055,1385544,22,100,Andisols,5,0.230000004,12,2
1778,1385545:95056,1385545,23,100,Andisols,5,0.230000004,23,2
1779,1385546:95057,1385546,24,100,Andisols,5,0.230000004,40,2
1717,1385561:95072,1385561,38,100,Entisols,5,0.300000012,82,2
1718,1385562:95073,1385562,39,100,Entisols,5,0.300000012,15,2
1819,1385575:95087,1385575,50,100,Ultisols,5,0.159999996,10,2
1821,1385576:95088,1385576,51,100,Ultisols,5,0.159999996,23,2
1822,1385577:95089,1385577,52,100,Ultisols,5,0.159999996,35,2
1777,1385593:95105,1385593,69,100,Inceptisols,5,0.230000004,10,2
1815,1385598:95109,1385598,73,100,Andisols,5,0.159999996,4,2
1729,1385600:95111,1385600,75,100,Ultisols,5,0.159999996,9,2
1791,1385601:95112,1385601,76,100,Ultisols,5,0.159999996,23,2
1789,1385602:95113,1385602,77,100,Ultisols,5,0.159999996,48,2
1695,1385614:95125,1385614,88,100,Entisols,5,0.230000004,15,2
1689,1385615:95126,1385615,89,100,Entisols,5,0.230000004,15,2
1889,1385738:104903,1385738,230,100,Entisols,5,0.370000005,15,2
1894,1385739:104904,1385739,231,100,Entisols,5,0.439999998,10,2
1696,1385752:104922,1385752,248,100,Entisols,5,0.300000012,10,2
1716,1385768:104942,1385768,266,100,Entisols,5,0.370000005,15,2
1299,1389410:101927,1389410,AmB,100,Entisols,3,0.300000012,3,2
1298,1389411:101928,1389411,AmC,100,Entisols,3,0.300000012,11,2
1327,1389412:101929,1389412,An,99,Entisols,5,0.230000004,3,2
1293,1389416:101938,1389416,Bh,85,Inceptisols,5,0.230000004,1,2
1289,1389417:101942,1389417,Br,88,Entisols,5,0.230000004,1,2
1313,1389419:1130085,1389419,Cb,85,,5,,3,2
1325,1389435:101997,1389435,Ng,75,Mollisols,5,0.230000004,1,2
1315,1389438:102013,1389438,Or,75,Histosols,3,0.370000005,1,2
1331,1389454:102059,1389454,Sh,80,Inceptisols,5,0.230000004,1,2
1301,1389455:102063,1389455,Sk,75,Histosols,3,0.02,1,2
1321,1389461:102092,1389461,Tu,80,Histosols,1,0.159999996,1,2
2951,1397241:101866,1397241,RY,100,Entisols,5,,72,2
3401,158090:232993,158090,13,85,Mollisols,5,0.090000004,23,2
3510,158104:233247,158104,142,80,Entisols,5,0.230000004,15,2
3460,158147:233324,158147,181,80,Andisols,5,0.370000005,2,2
3407,158153:233330,158153,187,100,,,,2,2
3504,158156:233007,158156,19,85,Alfisols,3,0.230000004,20,2
3622,158168:233009,158168,20,80,Alfisols,3,0.230000004,53,2
3409,158170:233358,158170,201,85,Histosols,5,0.230000004,1,2
3474,158171:233363,158171,202,90,Histosols,,0.230000004,1,2
3421,158186:233387,158186,216,80,Entisols,5,0.230000004,48,2
3445,158219:233443,158219,246,85,Entisols,5,0.230000004,2,2
3623,158222:233019,158222,25,70,Alfisols,3,0.230000004,13,2
3616,158223:233022,158223,26,70,Alfisols,3,0.230000004,45,2
3490,158237:233044,158237,39,80,Mollisols,5,0.230000004,2,2
3561,158239:233047,158239,40,94,Mollisols,5,0.230000004,2,2
3457,158273:233103,158273,71,85,Mollisols,3,0.230000004,17,2
3514,158274:233104,158274,72,80,Mollisols,3,0.230000004,33,2
3477,158275:233105,158275,73,75,Mollisols,3,0.230000004,53,2
3396,158276:233106,158276,74,85,Mollisols,3,0.230000004,15,2
3471,158277:233107,158277,75,75,Mollisols,3,0.230000004,48,2
3575,158278:233108,158278,76,65,Mollisols,3,0.230000004,15,2
3496,158279:233110,158279,77,65,Mollisols,3,0.230000004,48,2
3570,158294:233131,158294,90,85,Andisols,5,0.230000004,3,2
3354,158311:233582,158311,104,90,Histosols,3,0.02,2,2
3372,158346:233630,158346,136,100,Inceptisols,5,0.230000004,3,2
3367,158347:233631,158347,137,100,Inceptisols,5,0.230000004,13,2
3371,158348:233632,158348,138,100,Inceptisols,5,0.230000004,33,2
3329,158349:233633,158349,139,100,Inceptisols,5,0.230000004,53,2
3378,158351:233634,158351,140,100,Inceptisols,5,0.230000004,30,2
3379,158352:233635,158352,141,100,Inceptisols,5,0.230000004,53,2
3327,158378:233477,158378,19,80,Mollisols,5,0.230000004,2,2
3361,158414:233513,158414,51,100,Andisols,5,0.230000004,1,2
5055,67411:94453,67411,132,85,Mollisols,5,0.159999996,35,2
5058,67418:94454,67418,133,85,Mollisols,5,0.159999996,55,2
5051,67420:94455,67420,134,45,Mollisols,5,0.159999996,55,2
5041,67477:94511,67477,169,85,Alfisols,3,0.230000004,48,2
5060,67648:94574,67648,212,75,Inceptisols,3,0.300000012,45,2
4776,67702:94609,67702,237,75,Histosols,2,0.090000004,68,2
4733,67703:94610,67703,238,40,Histosols,2,0.090000004,68,2
7299,68152:94858,68152,ECB,100,Andisols,5,0.230000004,3,2
7328,68153:94859,68153,EDB,100,Andisols,5,0.230000004,3,2
7336,68154:94861,68154,EFB,100,Alfisols,2,0.230000004,4,2
7327,68155:94862,68155,EGC,60,Andisols,5,0.230000004,3,2
7445,68169:94880,68169,EsB,100,Aridisols,1,0.300000012,3,2
7419,68170:94881,68170,EsD,100,Aridisols,1,0.300000012,10,2
7362,68179:94890,68179,HEA,100,Mollisols,5,0.230000004,1,2
7349,68186:94897,68186,ONB,100,Mollisols,5,0.159999996,3,2
7375,68196:94915,68196,QUE,100,Entisols,5,0.230000004,24,2
7444,68197:94916,68197,QfC2,100,Entisols,5,0.230000004,5,2
7456,68198:94917,68198,QuC2,100,Entisols,5,0.230000004,5,2
7415,68234:94958,68234,RvB2,100,Aridisols,5,0.300000012,3,2
7330,68275:95000,68275,UMA,100,Inceptisols,5,0.300000012,1,2
7432,68276:95001,68276,UmA,100,Inceptisols,5,0.300000012,1,2
7383,68290:95015,68290,WND2,100,Andisols,5,0.230000004,15,2
7338,68297:95022,68297,WTC,100,Inceptisols,1,0.230000004,8,2
7769,68482:95369,68482,103,100,Mollisols,4,0.159999996,5,2
7743,68483:95372,68483,104,100,Mollisols,4,0.159999996,16,2
7776,68484:95375,68484,105,100,Mollisols,4,0.159999996,33,2
7837,68485:95376,68485,106,100,Mollisols,4,0.159999996,48,2
7772,68486:95377,68486,107,65,Mollisols,4,0.159999996,16,2
7817,68487:95379,68487,108,65,Mollisols,4,0.159999996,33,2
7789,68488:95381,68488,109,70,Mollisols,4,0.159999996,16,2
7767,68490:95383,68490,110,100,Mollisols,4,0.159999996,5,2
7762,68491:95384,68491,111,100,Mollisols,4,0.159999996,16,2
7793,68492:95385,68492,112,100,Mollisols,3,0.159999996,33,2
7838,68503:95396,68503,122,100,Andisols,5,0.230000004,16,2
7831,68504:95397,68504,123,100,Entisols,5,0.159999996,8,2
7777,68512:95248,68512,19,100,Mollisols,5,0.230000004,2,2
7761,68514:95251,68514,20,100,Mollisols,5,0.230000004,2,2
7801,68537:95281,68537,41,100,Mollisols,5,0.159999996,2,2
7778,68544:95293,68544,48,100,Entisols,5,0.300000012,15,2
7792,68545:95294,68545,49,100,Entisols,5,0.300000012,33,2
7845,68547:95295,68547,50,100,Mollisols,5,0.230000004,9,2
7842,68548:95296,68548,51,100,Mollisols,5,0.230000004,20,2
7843,68549:95297,68549,52,100,Mollisols,5,0.230000004,33,2
7846,68550:95298,68550,53,100,Mollisols,5,0.230000004,48,2
7833,68552:95301,68552,55,100,Mollisols,5,0.159999996,48,2
7794,68555:95304,68555,58,100,Mollisols,5,0.159999996,2,2
7760,68562:95317,68562,64,100,Mollisols,5,0.159999996,5,2
7759,68563:95318,68563,65,100,Mollisols,5,0.159999996,16,2
7779,68564:95319,68564,66,100,Mollisols,5,0.159999996,16,2
7747,68565:95320,68565,67,100,Mollisols,5,0.159999996,33,2
7773,68566:95321,68566,68,100,Mollisols,5,0.159999996,33,2
7790,68567:95322,68567,69,100,Mollisols,5,0.159999996,48,2
7826,68569:95323,68569,70,50,Mollisols,5,0.159999996,5,2
7745,68570:95325,68570,71,50,Mollisols,5,0.159999996,16,2
7814,68571:95327,68571,72,50,Mollisols,5,0.159999996,33,2
7824,68572:95329,68572,73,50,Mollisols,5,0.159999996,48,2
7810,68573:95331,68573,74,100,Mollisols,5,0.230000004,2,2
7536,68620:95778,68620,25,100,Inceptisols,5,0.159999996,2,2
7544,68621:95779,68621,26,90,Inceptisols,3,0.159999996,2,2
7547,68628:95789,68628,32,90,Andisols,5,0.230000004,2,2
7546,68629:95791,68629,33,100,Andisols,5,0.230000004,2,2
7542,68631:95794,68631,35,100,Mollisols,5,0.230000004,1,2
7520,68644:95808,68644,47,100,Mollisols,5,0.159999996,2,2
7499,68649:95813,68649,51,100,Mollisols,5,0.230000004,1,2
7522,68651:95818,68651,53,100,Mollisols,5,0.159999996,2,2
7512,68667:95843,68667,68,100,Entisols,5,0.230000004,38,2
7517,68673:95849,68673,73,100,Inceptisols,5,0.230000004,4,2
7523,68674:95850,68674,74,100,Inceptisols,5,0.230000004,8,2
7924,68713:95417,68713,12,85,Entisols,5,0.230000004,1,2
7957,68723:95620,68723,129,100,Histosols,3,0.230000004,1,2
7929,68769:95693,68769,170,100,Entisols,5,0.230000004,3,2
7921,68771:95696,68771,172,95,Inceptisols,5,0.300000012,2,2
8044,68774:95702,68774,175,70,Entisols,5,0.230000004,3,2
8031,68775:95704,68775,176,55,Entisols,5,0.230000004,3,2
7935,68786:95722,68786,186,100,Entisols,5,0.230000004,4,2
7878,68829:95496,68829,54,85,Mollisols,5,0.230000004,1,2
8041,68831:95501,68831,56,100,Entisols,5,0.370000005,3,2
8053,68832:95503,68832,57,100,Entisols,5,0.370000005,8,2
7944,68833:95504,68833,58,100,Entisols,5,0.370000005,1,2
7979,68834:95506,68834,59,100,Entisols,5,0.370000005,4,2
8042,68836:95508,68836,60,100,Entisols,5,0.370000005,8,2
8017,68837:95509,68837,61,100,Entisols,5,0.370000005,13,2
7951,68838:95510,68838,62,100,Entisols,5,0.370000005,1,2
7981,68839:95511,68839,63,100,Entisols,5,0.370000005,4,2
7978,68840:95513,68840,64,100,Entisols,5,0.370000005,8,2
7980,68841:95514,68841,65,100,Entisols,5,0.370000005,18,2
7920,68864:95546,68864,86,100,Inceptisols,5,0.230000004,1,2
7877,68865:95547,68865,87,90,Mollisols,5,0.230000004,1,2
8038,68875:95564,68875,96,100,Entisols,5,0.230000004,15,2
7930,68876:95565,68876,97,100,Entisols,5,0.230000004,9,2
7917,68877:95567,68877,98,100,Entisols,5,0.230000004,8,2
7940,68878:95569,68878,99,100,Entisols,5,0.230000004,25,2
5592,68956:96127,68956,168,100,Inceptisols,5,0.300000012,3,2
5506,68957:96129,68957,169,100,Inceptisols,5,0.300000012,1,2
5556,68960:96135,68960,171,100,Entisols,5,0.230000004,3,2
5558,69064:96009,69064,91,100,Inceptisols,5,0.230000004,1,2
5523,69065:96012,69065,92,100,Inceptisols,5,0.230000004,1,2
5559,69068:96018,69068,95,100,Entisols,5,0.230000004,5,2
5340,69083:96195,69083,EsA,100,Mollisols,5,0.230000004,1,2
5351,69097:96221,69097,OnA,100,Mollisols,5,0.230000004,1,2
5317,69098:96223,69098,OnB,100,Mollisols,5,0.230000004,4,2
5388,69099:96225,69099,QuA,100,Entisols,5,0.230000004,1,2
5375,69100:96227,69100,QuD,100,Entisols,5,0.230000004,9,2
5318,69126:96259,69126,Um,100,Inceptisols,5,0.300000012,1,2
7622,69225:96436,69225,BeB,100,Alfisols,5,0.230000004,10,2
7616,69226:96437,69226,BfB,100,Alfisols,5,0.230000004,10,2
7626,69227:96438,69227,BfD,100,Alfisols,5,0.230000004,38,2
7606,69228:96439,69228,BhD,50,Alfisols,5,0.230000004,38,2
7593,69241:96459,69241,By,95,Mollisols,5,0.230000004,2,2
7604,69242:96462,69242,Bz,100,Mollisols,5,0.230000004,2,2
7660,69243:96464,69243,Ca,100,Mollisols,5,0.230000004,2,2
7572,69292:96532,69292,HhA,95,Andisols,5,0.230000004,3,2
7713,69312:96575,69312,LnB2,100,Mollisols,5,0.230000004,13,2
7720,69313:96576,69313,LnD2,100,Mollisols,5,0.230000004,33,2
7574,69315:96579,69315,MaC,100,Entisols,5,0.230000004,15,2
7661,69316:96580,69316,MbC,100,Entisols,5,0.230000004,15,2
7654,69318:96582,69318,Md,100,Mollisols,5,0.159999996,1,2
7688,69332:96601,69332,NpA,100,Mollisols,5,0.159999996,3,2
7682,69333:96602,69333,NpB,100,Mollisols,5,0.159999996,13,2
7726,69334:96603,69334,NpB3,100,Mollisols,5,0.159999996,13,2
7627,69377:96658,69377,SzE,100,Inceptisols,5,0.159999996,50,2
8851,69403:96698,69403,11,100,Mollisols,4,0.159999996,4,2
8841,69410:96699,69410,12,100,Mollisols,4,0.159999996,8,2
8839,69411:96700,69411,13,100,Mollisols,4,0.159999996,13,2
8835,69412:96701,69412,14,100,Mollisols,4,0.159999996,20,2
8849,69413:96702,69413,15,100,Mollisols,4,0.159999996,33,2
8833,69414:96703,69414,16,100,Mollisols,4,0.159999996,50,2
8850,69426:96716,69426,27,100,Entisols,5,0.159999996,6,2
8854,69448:96757,69448,47,100,Entisols,5,0.159999996,2,2
8166,69550:96937,69550,KeA,100,Entisols,5,0.230000004,1,2
8174,69551:96938,69551,KeB,100,Entisols,5,0.230000004,4,2
8173,69553:96940,69553,KeD,100,Entisols,5,0.230000004,12,2
8176,69554:96941,69554,KeE3,100,Entisols,4,0.230000004,23,2
8095,69560:96947,69560,PaA,90,Mollisols,5,0.230000004,1,2
8106,69561:96949,69561,PcA,90,Mollisols,5,0.230000004,1,2
8082,69567:96959,69567,QuA,90,Entisols,5,0.230000004,1,2
8083,69568:96961,69568,QuD,100,Entisols,5,0.230000004,9,2
8091,69569:96962,69569,QuE,90,Entisols,5,0.230000004,15,2
8092,69570:96964,69570,QyE,100,Entisols,2,0.230000004,15,2
8159,69603:97010,69603,UmB,100,Inceptisols,5,0.300000012,3,2
8679,69641:97052,69641,AtF3,100,Mollisols,5,0.159999996,48,2
8635,69669:97087,69669,HmA,100,Mollisols,5,0.159999996,2,2
8671,69678:97102,69678,LvF,100,Mollisols,5,0.090000004,53,2
8663,69679:97103,69679,MoA,100,Mollisols,5,0.159999996,2,2
8645,69683:97108,69683,OnA,100,Mollisols,5,0.159999996,2,2
8677,69684:97110,69684,PaB,100,Mollisols,5,0.159999996,4,2
8684,69685:97111,69685,PaD,50,Mollisols,5,0.159999996,17,2
8689,69686:97112,69686,PaD3,50,Mollisols,5,0.159999996,17,2
8680,69687:97113,69687,PaE,100,Mollisols,5,0.159999996,33,2
8683,69688:97114,69688,PaE3,100,Mollisols,5,0.159999996,33,2
8668,69689:97115,69689,PaF,100,Mollisols,5,0.159999996,48,2
8767,69805:97216,69805,Hr,90,Mollisols,5,0.230000004,2,2
8753,69816:97232,69816,Mo,90,Mollisols,5,0.159999996,2,2
8774,69827:97247,69827,Ox,90,Mollisols,5,0.230000004,2,2
8806,69828:97249,69828,PaB,100,Mollisols,5,0.159999996,4,2
8805,69829:97250,69829,PaD,80,Mollisols,5,0.159999996,16,2
8777,69833:97254,69833,Qu,100,Entisols,5,0.230000004,13,2
8818,69835:97256,69835,ToD,80,Andisols,5,0.230000004,18,2
8820,69836:97257,69836,ToE,100,Andisols,5,0.230000004,33,2
8817,69837:97258,69837,ToF,100,Andisols,5,0.230000004,50,2
6798,699259:1072842,699259,427,90,Entisols,2,0.230000004,45,2
6919,699268:1072855,699268,486,60,Entisols,5,0.300000012,2,2
6890,699552:1073811,699552,272,85,Entisols,5,0.230000004,23,2
6909,700184:1074720,700184,276,50,Entisols,5,0.230000004,9,2
6805,700185:107961,700185,274,85,Entisols,5,0.25,8,2
4561,70048:97516,70048,CeE,100,Mollisols,5,0.159999996,30,2
4565,70049:97517,70049,CeF,100,Mollisols,5,0.159999996,55,2
4573,70050:97518,70050,ChA,100,Mollisols,2,0.159999996,2,2
4568,70052:97520,70052,ClE,100,Mollisols,5,0.159999996,23,2
6940,700534:1075291,700534,277,55,Entisols,5,0.230000004,45,2
4605,70124:97616,70124,Ms,90,,2,,2,2
4720,70127:97621,70127,MuE,100,Mollisols,5,0.159999996,23,2
4635,70180:97698,70180,SmE,100,Inceptisols,5,0.159999996,23,2
4618,70195:97718,70195,Ts,100,Inceptisols,5,0.159999996,1,2
4024,70225:97911,70225,111,45,Entisols,5,0.230000004,48,2
3897,70271:97968,70271,153,80,Inceptisols,5,0.230000004,2,2
4066,70273:97972,70273,155,90,Entisols,5,0.230000004,5,2
3839,70274:97973,70274,156,85,Entisols,5,0.230000004,18,2
3844,70277:97976,70277,159,80,Entisols,5,0.230000004,45,2
3782,70334:97765,70334,21,90,Entisols,1,0.230000004,2,2
3994,70407:98126,70407,276,85,Histosols,5,0.159999996,1,2
